file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r8.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,8,,Pick up the darker box.,6.649421204000646,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r7.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,7,,Pick up the darker box.,6.4120949540001675,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r1.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,1,,Pick up the darker box.,11.050025407000248,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r4.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,4,,Pick up the darker box.,7.3182983340002465,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r9.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,9,,Pick up the darker box.,4.582606117999603,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r10.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,10,,Pick up the darker box.,5.671252992999143,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r6.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,6,,Pick up the darker box.,6.880780355999377,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r2.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,2,,Pick up the darker box.,6.603245379999862,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/gpt-5.2/sb_only_graph__gpt-5.2__graph_spatial__no_image__r3.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,3,,Pick up the darker box.,12.271107775000019,True,
sb_only_graph/graph_spatial/2026-03-16_11-57-19/o3/sb_only_graph__o3__graph_spatial__no_image__r3.json,sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,3,,Pick up the darker box.,23.735580339999615,True,
